employee_id,department,years_of_service,performance_score,basic_salary,hra,other_allowances,overtime_hours,bonuses,tax_deductions,other_deductions,net_salary,is_anomaly,anomaly_type
EMP01604,Operations,2,70.9,31031.07,12412.43,4654.66,345.9,3103.11,6206.21,1551.55,144071.45,1,impossible_overtime
EMP00483,HR,17,57.4,37442.51,16585.18,6271.3,7.3,0.0,5072.05,937.34,56852.07,0,Normal
EMP00204,Operations,14,40.5,27215.45,12857.68,2770.55,4.4,0.0,5619.16,756.9,37590.26,0,Normal
EMP00050,Engineering,16,46.8,75994.92,31403.85,18046.77,4.4,4607.63,8765.67,1981.0,122441.29,0,Normal
EMP00938,Management,23,98.7,60706.57,25334.36,13500.74,17.5,0.0,18129.06,4256.85,87115.43,0,Normal
EMP00482,Finance,22,59.6,65534.43,27028.87,9086.01,4.8,6890.86,8452.61,4786.91,98249.7,0,Normal
EMP01669,Finance,27,66.0,50242.74,20097.1,7536.41,9.9,5024.27,-4941.6,-368.52,92873.79,1,negative_deduction
EMP01308,Operations,6,68.3,35303.5,11386.02,7959.74,6.0,2726.36,10506.2,1313.04,47542.2,0,Normal
EMP01626,Finance,25,45.1,0.0,12040.92,9463.56,0.0,38790.46,0.0,0.0,60294.94,1,ghost_employee
EMP00519,Management,25,43.5,97969.6,46754.65,19323.98,22.9,5705.33,15328.84,2629.14,172828.43,0,Normal
EMP01318,Operations,11,63.5,46626.09,16769.28,11447.52,5.3,0.0,8517.81,2365.67,66276.14,0,Normal
EMP00888,Engineering,18,52.4,54888.4,22020.47,11916.54,18.7,6061.51,7855.73,2064.28,94589.53,0,Normal
EMP00439,Operations,19,41.7,35166.35,12376.24,5799.84,4.5,4711.67,3679.15,2427.36,53431.17,0,Normal
EMP00494,Engineering,6,52.8,50762.0,23692.09,8870.66,8.0,3717.87,11063.88,1677.64,78108.25,0,Normal
EMP00465,Management,5,60.0,113719.36,42781.02,15786.39,21.5,0.0,30340.12,4679.38,160188.83,0,Normal
EMP00213,Finance,25,70.4,34909.09,15650.73,6022.68,3.7,0.0,4407.78,1510.54,51875.09,0,Normal
EMP00071,Operations,28,61.2,30540.07,10559.99,7220.66,6.4,,8578.25,1496.5,40078.37,0,Normal
EMP00333,Engineering,25,,48229.03,23470.22,7624.21,13.2,0.0,9530.64,3672.85,72088.31,0,Normal
EMP00568,Sales,24,74.4,49272.52,16976.12,5400.97,1.1,0.0,9503.71,1986.12,60667.9,0,Normal
EMP00440,Engineering,14,86.2,46263.96,22851.84,8342.84,12.9,7793.21,5099.51,3215.2,82532.19,0,Normal
EMP00678,Sales,8,80.8,42977.04,18217.02,9636.65,1.3,0.0,8434.47,3024.62,59895.4,0,Normal
EMP01354,Operations,20,74.0,32960.35,15957.37,4044.62,33.9,2846.09,5460.56,826.65,59996.43,0,Normal
EMP00590,Engineering,7,72.2,67012.55,31742.63,8887.07,3.6,6863.5,8050.8,4181.69,104534.93,0,Normal
EMP00803,Finance,15,41.6,55732.35,20229.93,6043.17,2.4,6951.08,13243.27,2992.71,73974.53,0,Normal
EMP01165,Engineering,7,69.7,54932.85,19433.02,10627.9,0.7,8913.37,11012.92,4115.3,79139.42,0,Normal
EMP01291,Sales,18,59.9,33754.27,15772.98,7139.13,10.1,0.0,3467.64,1407.17,54987.68,0,Normal
EMP01272,Operations,9,72.7,26842.69,11608.46,6441.68,7.8,4382.45,5948.18,1261.11,44028.86,0,Normal
EMP00454,Management,22,96.3,78598.93,31083.53,14695.99,9.9,0.0,22747.91,3989.76,104935.74,0,Normal
EMP01649,HR,6,98.5,45553.08,18221.23,6832.96,19.3,4555.31,9110.62,2277.65,-36008.29,1,net_salary_inconsistency
EMP00862,HR,20,95.1,39941.64,17102.73,4578.97,0.9,6732.61,9946.53,2514.95,56231.48,0,Normal
EMP00701,HR,26,65.6,37059.84,12051.53,7578.86,0.3,0.0,3735.11,2097.55,50961.8,0,Normal
