employee_id,department,years_of_service,performance_score,basic_salary,hra,other_allowances,overtime_hours,bonuses,tax_deductions,other_deductions,net_salary,is_anomaly,anomaly_type,isolation_forest_pred,isolation_forest_score,oneclass_svm_pred,oneclass_svm_score,local_outlier_factor_pred,local_outlier_factor_score,ensemble_anomaly,ensemble_score,top_anomaly_feature
EMP01604,Operations,2,70.9,31031.07,12412.43,4654.66,345.9,3103.11,6206.21,1551.55,144071.45,1,impossible_overtime,1,0.783669,1,0.534729,0,0.021518,0,0.446639,net_salary
EMP00483,HR,17,57.4,37442.51,16585.18,6271.3,7.3,0.0,5072.05,937.34,56852.07,0,Normal,0,0.047324,0,0.06669,0,0.008322,0,0.040779,net_salary
EMP00204,Operations,14,40.5,27215.45,12857.68,2770.55,4.4,0.0,5619.16,756.9,37590.26,0,Normal,0,0.15779,0,0.282564,0,0.03712,0,0.159158,net_salary
EMP00050,Engineering,16,46.8,75994.92,31403.85,18046.77,4.4,4607.63,8765.67,1981.0,122441.29,0,Normal,0,0.174962,0,0.191468,0,0.109724,0,0.158718,net_salary
EMP00938,Management,23,98.7,60706.57,25334.36,13500.74,17.5,0.0,18129.06,4256.85,87115.43,0,Normal,0,0.206617,0,0.350161,0,0.08546,0,0.21408,net_salary
EMP00482,Finance,22,59.6,65534.43,27028.87,9086.01,4.8,6890.86,8452.61,4786.91,98249.7,0,Normal,0,0.09764,0,0.11107,0,0.062454,0,0.090388,net_salary
EMP01669,Finance,27,66.0,50242.74,20097.1,7536.41,9.9,5024.27,-4941.6,-368.52,92873.79,1,negative_deduction,0,0.331255,1,0.384286,0,0.018153,0,0.244565,net_salary
EMP01308,Operations,6,68.3,35303.5,11386.02,7959.74,6.0,2726.36,10506.2,1313.04,47542.2,0,Normal,0,0.095247,0,0.270182,0,0.014867,0,0.126765,net_salary
EMP01626,Finance,25,45.1,0.0,12040.92,9463.56,0.0,38790.46,0.0,0.0,60294.94,1,ghost_employee,0,0.351163,0,0.382375,1,0.134279,0,0.289273,net_salary
EMP00519,Management,25,43.5,97969.6,46754.65,19323.98,22.9,5705.33,15328.84,2629.14,172828.43,0,Normal,0,0.358354,0,0.363897,1,0.133762,0,0.285338,net_salary
EMP01318,Operations,11,63.5,46626.09,16769.28,11447.52,5.3,0.0,8517.81,2365.67,66276.14,0,Normal,0,0.008957,0,0.033879,0,0.034881,0,0.025906,net_salary
EMP00888,Engineering,18,52.4,54888.4,22020.47,11916.54,18.7,6061.51,7855.73,2064.28,94589.53,0,Normal,0,0.093591,0,0.07051,0,0.04688,0,0.070327,net_salary
EMP00439,Operations,19,41.7,35166.35,12376.24,5799.84,4.5,4711.67,3679.15,2427.36,53431.17,0,Normal,0,0.115358,0,0.20249,0,0.032337,0,0.116728,net_salary
EMP00494,Engineering,6,52.8,50762.0,23692.09,8870.66,8.0,3717.87,11063.88,1677.64,78108.25,0,Normal,0,0.050106,0,0.153287,0,0.027984,0,0.077126,net_salary
EMP00465,Management,5,60.0,113719.36,42781.02,15786.39,21.5,0.0,30340.12,4679.38,160188.83,0,Normal,0,0.374964,0,0.356925,1,0.149844,0,0.293911,net_salary
