employee_id,department,years_of_service,performance_score,basic_salary,hra,other_allowances,overtime_hours,bonuses,tax_deductions,other_deductions,net_salary,is_anomaly,anomaly_type
EMP00715,Sales,20,96.4,43547.67,14174.03,7834.46,5.6,0.0,6994.66,3060.62,57787.13,0,Normal
EMP00606,HR,12,47.9,48952.03,21623.39,11382.47,8.9,0.0,11210.43,3891.95,70939.94,0,Normal
EMP00121,Operations,19,93.7,39021.21,14923.84,3958.87,1.9,,10020.91,952.7,47625.38,0,Normal
EMP00209,Operations,15,95.7,39996.8,15512.6,6080.69,9.6,7049.01,11942.41,1309.01,58987.39,0,Normal
EMP00381,Management,13,42.7,81427.61,28063.7,18591.69,3.5,0.0,10052.88,5266.65,115435.31,0,Normal
EMP00816,Management,14,76.4,365217.58,146087.03,54782.64,11.4,54782.64,73043.52,18260.88,568598.12,1,salary_spike
EMP00576,HR,10,70.8,30143.14,13347.67,4505.28,3.2,0.0,5022.58,2233.29,41644.51,0,Normal
EMP00267,HR,13,55.7,37560.9,11490.51,8984.3,2.0,0.0,10313.32,2925.71,45500.95,0,Normal
EMP00558,Finance,24,73.2,67028.85,20656.15,9319.26,1.7,0.0,15111.14,2203.71,80757.68,0,Normal
EMP00825,Management,7,83.5,349163.84,139665.54,52374.58,3.7,52374.58,69832.77,17458.19,518399.2,1,salary_spike
EMP00581,Management,17,90.0,83224.41,41288.08,17501.63,13.9,0.0,9094.23,2154.48,141610.59,0,Normal
EMP00328,HR,14,66.6,37955.83,15058.62,4518.31,1.1,0.0,5609.62,1601.52,50713.04,0,Normal
EMP00624,Engineering,16,42.6,54189.15,20293.66,9308.2,60.0,0.0,5670.2,3136.37,105465.84,0,Normal
EMP00366,Operations,19,69.2,41049.34,16373.73,7451.85,1.5,3280.72,8817.27,2249.62,57666.01,0,Normal
EMP00747,Sales,25,67.4,35869.09,16647.27,,0.8,2774.45,7595.11,2109.12,51099.86,0,Normal
EMP00199,Engineering,14,89.2,53441.14,26062.52,11170.93,2.3,,7543.18,3212.24,81071.49,0,Normal
EMP00457,Engineering,13,64.8,66324.02,31093.25,8950.4,4.2,0.0,12302.68,2636.42,94040.08,0,Normal
EMP00466,HR,24,72.4,30856.79,12735.24,4257.95,2.0,0.0,8751.66,1873.01,37803.87,0,Normal
EMP00312,Finance,8,78.9,38211.86,13128.19,,3.2,0.0,7819.93,1632.18,50071.66,0,Normal
EMP00332,Sales,22,64.7,41554.09,19167.48,4589.89,8.4,0.0,9717.78,2462.3,56403.76,0,Normal
EMP00394,Finance,17,87.8,49264.38,18646.47,7855.19,10.8,8459.09,13686.34,3750.04,71776.77,0,Normal
EMP00635,Engineering,9,51.6,70315.57,25339.36,11084.69,7.7,8583.91,15154.56,3820.43,101424.45,0,Normal
EMP00788,Engineering,3,71.9,59793.39,18718.46,13412.78,19.6,10538.27,6812.81,2382.6,104254.53,0,Normal
EMP00743,Operations,29,93.9,45559.97,20557.22,8869.68,5.1,0.0,8379.38,1846.95,66938.88,0,Normal
EMP00851,Engineering,2,76.1,45391.57,18156.63,6808.74,14.2,308895.77,9078.31,2269.58,373947.57,1,bonus_abuse
EMP00138,Management,21,63.1,99651.7,43898.1,23729.98,3.7,0.0,28828.25,3632.58,138275.62,0,Normal
EMP00809,HR,22,73.0,0.0,6890.27,8948.23,0.0,43480.23,0.0,0.0,59318.73,1,ghost_employee
EMP00441,Operations,11,96.6,27341.06,8258.66,5280.12,0.5,0.0,3960.76,582.14,36465.1,0,Normal
EMP00859,Engineering,27,69.8,42909.04,17163.62,6436.36,243.0,4290.9,8581.81,2145.45,157824.82,1,impossible_overtime
EMP00433,Operations,3,64.3,26625.15,12327.27,6433.23,4.0,0.0,5221.51,1982.92,39179.66,0,Normal
EMP00297,Management,3,94.6,108570.06,52955.88,14368.95,0.9,0.0,19752.74,6146.18,150912.03,0,Normal
EMP00522,Management,25,41.2,93948.83,36616.82,15514.73,1.0,0.0,24729.73,6351.56,115879.86,0,Normal
EMP00676,Finance,9,73.0,46916.26,16278.4,11559.37,2.4,0.0,9830.68,1738.56,64240.41,0,Normal
EMP00293,Engineering,19,70.0,52027.82,18010.51,7771.21,0.2,3768.14,15246.83,1874.32,64554.08,0,Normal
EMP00137,Finance,14,72.7,29584.17,14138.99,6882.01,0.8,0.0,6649.38,2257.73,41919.94,0,Normal
EMP00529,Sales,23,45.8,32470.95,14993.79,6119.14,3.0,0.0,9560.15,1207.02,43729.96,0,Normal
EMP00659,Finance,20,72.6,49082.84,14993.04,6112.2,1.7,3846.31,8754.42,1740.78,64321.45,0,Normal
EMP00097,Sales,23,64.9,37613.68,14398.52,8025.49,8.7,0.0,10965.21,1388.43,50751.92,0,Normal
EMP00291,Management,29,55.1,74056.79,28128.28,,21.8,0.0,8450.21,4221.28,117706.11,0,Normal
EMP00694,Operations,22,71.2,31001.52,10103.92,3828.71,0.9,0.0,8535.41,1667.0,34993.32,0,Normal
EMP00040,Engineering,5,75.9,31646.21,11309.88,3655.73,2.9,5234.92,4170.23,1289.45,47247.44,0,Normal
EMP00068,Operations,15,44.6,37365.98,16101.11,8998.99,6.1,0.0,7554.78,2014.94,55033.23,0,Normal
EMP00837,Finance,8,90.3,43404.94,17361.98,6510.74,27.0,4340.49,8680.99,2170.25,251138.26,1,net_salary_inconsistency
EMP00329,Sales,12,52.1,54965.4,27005.67,7638.01,4.8,2974.89,10979.24,2855.82,81222.35,0,Normal
EMP00266,Management,19,86.8,53564.02,22018.15,7429.98,2.4,3144.98,10258.57,4122.18,72981.57,0,Normal
EMP00031,Engineering,27,65.7,53692.23,26104.79,,6.4,0.0,9985.22,1528.76,83405.38,0,Normal
EMP00361,Finance,6,91.9,45620.05,13874.21,6650.92,6.2,5893.92,11941.34,2685.03,60064.4,0,Normal
EMP00847,Sales,7,58.7,25157.85,10063.14,3773.68,28.9,2515.78,5031.57,1257.89,4203.72,1,net_salary_inconsistency
EMP00666,HR,19,72.1,43808.14,16051.37,8789.2,10.5,6925.46,6931.66,2199.69,70755.18,0,Normal
