employee_id,department,years_of_service,performance_score,basic_salary,hra,other_allowances,overtime_hours,bonuses,tax_deductions,other_deductions,net_salary,is_anomaly,anomaly_type
EMP00543,Engineering,26,73.9,38834.48,13808.4,7340.46,5.6,2075.98,8087.94,1443.51,54566.68,0,Normal
EMP00260,Engineering,13,79.3,60948.18,26501.86,7158.59,0.4,0.0,18022.45,2490.6,74324.14,0,Normal
EMP00044,Management,13,74.5,82640.85,38579.14,14290.22,1.0,0.0,9899.85,4390.98,121994.14,0,Normal
EMP01011,Engineering,10,99.6,70652.08,35287.01,16701.3,6.7,6384.68,17308.49,5573.39,110581.02,0,Normal
EMP00755,Engineering,2,96.7,58876.95,23552.11,12951.02,3.4,0.0,7648.7,4173.1,85434.98,0,Normal
EMP00311,Sales,19,61.7,51203.13,25025.04,12148.41,15.4,6541.71,12377.61,2744.16,87188.97,0,Normal
EMP00756,Operations,11,72.9,32981.17,12611.72,6042.25,7.7,0.0,3983.07,1387.17,48645.73,0,Normal
EMP00468,Operations,7,56.4,39237.54,18104.76,9762.08,2.0,7113.94,6513.23,2166.27,66274.52,0,Normal
EMP00211,HR,29,58.9,35462.91,11529.35,7901.53,1.1,0.0,10191.68,2510.49,42557.33,0,Normal
EMP00156,Engineering,27,53.4,48577.18,19434.77,7853.94,1.2,2577.08,13806.31,2283.9,62899.25,0,Normal
EMP01109,Finance,27,82.6,38283.5,15313.4,5742.52,28.1,19141.75,1914.18,765.67,85886.63,1,duplicate_manipulation
EMP00712,Finance,8,72.6,46905.4,22128.25,8817.91,2.3,8705.89,6916.24,2840.06,77812.55,0,Normal
EMP00410,Engineering,4,76.4,43951.92,19915.02,9705.24,6.9,0.0,12583.74,2820.0,61011.58,0,Normal
EMP00495,HR,13,60.5,28431.85,8823.36,3401.76,9.0,0.0,3363.39,876.82,38815.7,0,Normal
EMP00701,HR,11,87.2,36414.65,17863.68,6732.25,16.2,0.0,5562.75,760.98,60217.32,0,Normal
EMP00524,Operations,17,76.1,43319.24,15889.93,6547.43,7.5,0.0,6516.97,3102.3,59183.21,0,Normal
EMP00810,Engineering,9,97.0,47706.14,23826.18,8481.4,0.4,0.0,7234.77,2021.81,70936.04,0,Normal
EMP00553,Finance,20,97.1,34360.08,15378.78,8169.44,10.1,0.0,6171.45,1463.16,53527.16,0,Normal
EMP00754,Sales,15,70.6,56622.11,18930.97,8661.23,1.8,8684.22,11378.09,2514.51,79961.43,0,Normal
EMP00424,HR,3,65.9,40753.22,17630.23,5663.65,8.0,0.0,4466.21,1277.25,61360.13,0,Normal
EMP00381,Engineering,24,81.6,45355.91,21703.33,6408.15,5.3,6632.71,8135.85,3312.79,70905.08,0,Normal
EMP00962,Finance,14,64.0,40196.89,15058.74,9362.89,3.5,3793.1,8560.48,1792.41,59377.69,0,Normal
EMP01151,Operations,3,98.9,0.0,15529.3,5968.97,0.0,27236.82,0.0,0.0,48735.09,1,ghost_employee
EMP00353,Finance,21,80.2,42278.09,17563.36,4863.54,7.8,0.0,12413.46,2052.79,53330.33,0,Normal
EMP00299,Finance,25,87.7,42971.42,19008.17,9146.88,29.6,0.0,12628.78,3306.51,67115.75,0,Normal
EMP01032,Finance,1,89.1,53081.77,16996.55,10804.71,1.2,0.0,8552.29,3350.09,69577.82,0,Normal
EMP00425,Engineering,4,80.1,57304.59,25694.19,13346.98,4.9,3202.97,14617.36,2760.14,84803.66,0,Normal
EMP00989,Engineering,9,73.7,48415.3,16012.79,11628.46,2.1,0.0,12151.01,2677.66,62181.06,0,Normal
EMP00332,Operations,15,41.1,42526.17,14646.66,5948.95,10.2,0.0,8005.38,1875.37,57307.59,0,Normal
EMP01212,Management,19,69.4,76893.52,30757.41,11534.03,205.8,7689.35,15378.7,3844.68,256007.37,1,impossible_overtime
EMP00535,Operations,7,46.9,35256.03,17236.31,7119.78,7.0,0.0,6657.14,1964.51,53304.15,0,Normal
EMP00108,Operations,27,70.9,45633.22,14911.37,6380.64,8.1,0.0,9900.19,2474.86,58015.45,0,Normal
EMP00372,Engineering,2,59.7,53442.15,22249.27,10019.75,3.2,0.0,10190.04,2630.47,74493.92,0,Normal
EMP00606,HR,15,59.4,42712.27,13684.1,6094.24,7.4,7583.46,7242.04,2759.65,63035.54,0,Normal
EMP00903,Engineering,17,60.1,53350.62,25618.55,11217.17,3.6,0.0,5438.57,1465.91,85082.44,0,Normal
EMP00079,Sales,27,77.3,28967.87,11037.36,3928.67,0.1,2312.78,5420.41,1050.22,39803.21,0,Normal
EMP01140,HR,17,69.1,252829.24,101131.7,37924.39,2.5,37924.39,50565.85,12641.46,372528.1,1,salary_spike
EMP00618,Sales,21,47.2,36511.95,15432.08,3963.52,17.9,0.0,10058.96,1945.89,50029.86,0,Normal
EMP00077,Operations,5,62.1,30558.4,14078.15,3170.3,9.8,0.0,5800.74,1107.98,43705.68,0,Normal
EMP00773,Engineering,20,55.8,49632.14,22758.9,6651.5,2.5,5143.23,6595.05,3056.26,75697.71,0,Normal
EMP00045,Sales,23,93.4,52858.58,23685.68,12586.21,5.7,0.0,8154.83,3153.46,80646.81,0,Normal
EMP00644,Sales,16,69.8,52875.3,22385.11,7792.02,23.2,0.0,13842.52,2975.65,77734.64,0,Normal
EMP00970,HR,14,73.9,33449.98,11080.02,4786.13,0.9,2666.62,6820.46,744.76,44699.76,0,Normal
EMP00114,Operations,1,68.4,49407.52,19872.98,11498.53,6.3,0.0,10912.94,1213.7,71570.52,0,Normal
